order=',a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
_a: (u)|(A)
_storming: st(0)r:m(1)ng
_storms: st(0)rmz
_story: st(0)r:r(E)
_straight: str(A)t
_straights: str(A)ts
_strange: str(A)nj
_stranger: str(A)n:j(3)
_stranges: str(A)n:j(i)z
_strangest: str(A)n:j(i)st
_strategies: str(@):d(i):j(E)z
_strategy: str(@):d(i):j(E)
_street: str(E)t
_streets: str(E)ts
_strength: str(e)ngth
_strengths: str(Ang)ths
_stress: str(e)s
_stressed: str(e)st
_stresses: str(e):s(i)z
_stressful: str(e)s:f(0)l
_stressing: str(e):s(1)ng
_stretch: str(e)ch
_stretched: str(e)cht
_stretches: str(e):ch(i)z
_stretching: str(e):ch(1)ng
_strike: str(I)k
_strikes: str(I)ks
_striking: str(I):k(1)ng
_string: str(1)ng
_strong: str(Ang)|str(a)ng
_stronger: str(a)n:g(3)
_strongest: str(a)n:g(i)st
_struck: str(u)k
_structure: str(u)k:ch(3)
_structures: str(u)k:ch(3)z
_struggle: str(u):g(0)l
_struggled: str(u):g(0)ld
_struggles: str(u):g(0)lz
_struggling: str(u):g(0)l:l(1)ng
_stuck: st(u)k
_student: st(o):d(i)nt
_students: st(o):d(i)nts
_studied: st(u):d(E)d
_studies: st(u):d(E)z
_studio: st(o):d(E):(O)
_studios: st(o):d(E):(O)z
_study: st(u):d(E)
_stuff: st(u)f
_stuffed: st(u)ft
_stuffing: st(u):f(1)ng
_stuffs: st(u)fs
_style: st(I):(0)l
_styled: st(I):(0)ld
_styles: st(I):(0)lz
_styling: st(I):l(1)ng
_subject: s(u)b:j(e)kt
_subjected: s(u)b:j(e)k:t(i)d
_subjects: s(u)b:j(e)kts
_succeed: s(u)k:s(E)d
_succeeded: s(u)k:s(E):d(i)d
_succeeding: s(u)k:s(E):d(1)ng
_succeeds: s(u)k:s(E)dz
_success: s(u)k:s(e)s
_successes: s(u)k:s(e):s(i)z
_successful: s(u)k:s(e)s:f(0)l
_successfully: s(u)k:s(e)s:f(0)l:l(E)
_such: s(u)ch
_sucker: s(u):k(3)
_suddenly: s(u):d(i)n:l(E)
_suffer: s(u):f(3)
_suffered: s(u):f(3)d
_suffering: s(u):f(3):(1)ng
_suffers: s(u):f(3)z
_sugar: sh(6):g(3)
_sugars: sh(6):g(3)z
_suggest: s(u):j(e)st
_suggested: s(u):j(e)s:t(i)d
_suggests: s(u):j(e)sts
_suit: s(o)t
_suited: s(o):t(i)d
_suits: s(o)ts
_summer: s(u):m(3)
_summers: s(u):m(3)z
_sun: s(u)n
_sung: s(u)ng
_suns: s(u)ns
_super: s(o):p(3)
_supplied: s(u):pl(I)d
_supplies: s(u):pl(I)z
_supply: s(u):pl(I)
_supplying: s(u):pl(I):(1)ng
_support: s(u):p(0)rt
_supported: s(u):p(0)r:t(i)d
_supports: s(u):p(0)rts
_supposed: s(u):p(O)zd
_supposedly: s(u):p(O):z(i)d:l(E)
_supreme: s(u):pr(E)m
_supremes: s(u):pr(E)mz
_sure: sh(3)
_surface: s(3):f(i)s
_surfaced: s(3):f(i)st
_surfaces: s(3):f(i):s(i)z
_surfacing: s(3):f(i):s(1)ng
_surgeries: s(3):j(3):r(E)z
_surgery: s(3):j(3):r(E)
_surgerys: s(3):j(3):r(E)z
_surprise: s(3):pr(I)z
_surprised: s(3):pr(I)zd
_surprises: s(3):pr(I):z(i)z
_surprising: s(3):pr(I):z(1)ng
_surround: s(3):r(8n)d
_surrounded: s(3):r(8n):d(i)d
_surrounding: s(3):r(8n):d(1)ng
_surrounds: s(3):r(8n)z
_survey: s(3):v(A)
_surveys: s(3):v(A)z
_survive: s(3):v(I)v
_survived: s(3):v(I)vd
_survives: s(3):v(I)vz
_surviving: s(3):v(I):v(1)ng
_suspect: s(u)s:p(e)kt
_suspected: s(u)s:p(e)k:t(i)d
_suspecting: s(u)s:p(e)k:t(1)ng
_suspects: s(u)s:p(e)kts
_sways: sw(A)z
_sweet: sw(E)t
_sweets: sw(E)ts
_sympathy: s(i)m:p(e):th(E)
_system: s(i)s:t(i)m
_systems: s(i)s:t(i)mz
_table: t(A):b(0)l
_tables: t(A):b(0)lz
_tainted: t(A)n:t(i)d
_take: t(A)k
_taken: t(A):k(i)n
_takes: t(A)ks
_taking: t(A):k(1)ng
_tale: t(A)l
_talent: t(@):l(i)nt
_talented: t(@):l(i)n:t(i)d
_talentful: t(@):l(i)nt:f(0)l
_talents: t(@):l(i)nts
_talk: t(9)k
_talked: t(9)kt
_talks: t(9)ks
_tall: t(9l)
_tank: t(A)nk
_tanked: t(A)nkt
_tanking: t(A)n:k(1)ng
_tanks: t(A)nks
_tape: t(A)p
_taped: t(A)pt
_tapes: t(A)ps
_taping: t(A):p(1)ng
_target: t(a)r:g(i)t
_targeted: t(a)r:g(i):d(i)d
_targeting: t(a)r:g(i):d(1)ng
_targets: t(a)r:g(i)ts
_task: t(@)sk
_tasked: t(@)skt
_tasks: t(@)sks
_taste: t(A)st
_tasted: t(A)s:t(i)d
_tasteful: t(A)st:f(0)l
_tastes: t(A)sts
_tasting: t(A)s:t(1)ng
_taught: t(9)t
_tax: t(@)ks
_taxed: t(@)kst
_taxes: t(@)k:s(i)z
_teach: t(E)ch
_teached: t(E)cht
_teacher: t(E):ch(3)
_teacherd: t(E):ch(3)d
_teachers: t(E):ch(3)z
_teaches: t(E):ch(i)z
_teaching: t(E):ch(1)ng
_teachings: t(E):ch(1)ngz
_team: t(E)m
_teamed: t(E)md
_teams: t(E)mz
_tear: t(A)r|t(E)r
_teared: t(A)rd
_tearing: t(A)r:r(1)ng|t(E)r:r(1)ng
_tears: t(A)rz|t(E)rz
_technical: t(e)k:n(i):k(0)l
_technicality: t(e)k:n(i):k(@):l(i):dd(E)
_technically: t(e)k:n(i)k:l(E)
_technique: t(e)k:n(E)k
_techniques: t(e)k:n(E)ks
_technologies: t(e)k:n(a):l(i):j(E)z
_technology: t(e)k:n(a):l(i):j(E)
_technologys: t(e)k:n(a):l(i):j(E)z
_teeth: t(E)th
_telephone: t(e):l(i):f(O)n
_telephones: t(e):l(i):f(O)nz
_television: t(e):l(i):v(i):zh(i)n
_televisions: t(e):l(i):v(i):zh(i)nz
_tell: t(e)l
_tells: t(e)lz
_temperature: t(e)m:pr(i):ch(3)
_temperatures: t(e)m:pr(i):ch(3)z
_ten: t(e)n
_tend: t(e)nd
_tended: t(e)n:d(i)d
_tending: t(e)n:d(1)ng
_tends: t(e)ndz
_tens: t(e)nz
_tenth: t(e)nth
_term: t(3)m
_termed: t(3)md
_terms: t(3)mz
_terrible: t(A)r:r(i):b(0)l
_terrified: t(A)r:r(i):f(I)d
_test: t(e)st
_tested: t(e)s:t(i)d
_tests: t(e)sts
_text: t(e)kst
_texting: t(e)ks:t(1)ng
_texts: t(e)ksts
_than: dh(&)n
_thank: th(A)nk
_thanks: th(A)nks
_that: dh(@)t
_that's: dh(@)ts
_thatd: dh(@)d
_the: dh(u)|dh(E)
_theater: th(E)r:dd(3)
_theaters: th(E)r:dd(3)z
_their: dh(A)r
_theirs: dh(A)rz
_them: dh(e)m
_theme: th(E)m
_themes: th(E)mz
_themselves: dh(e)m:s(e)lvz
_then: dh(e)n
_theories: th(E)r:r(E)z
_theory: th(E)r:r(E)
_theorys: th(E)r:r(E)z
_there: dh(A)r
_thered: dh(A)rd
_therefore: th(A)r:f(0)r
_theres: dh(A)rs
_these: dh(E)z
_they: dh(A)
_theyd: dh(A)d
_theyll: th(e)l
_theyre: th(A)r
_theyve: dh(A)v
_thick: th(i)k
_thicker: th(i):k(3)
_thickest: th(i):k(i)st
_thicks: th(i)ks
_thin: th(i)n
_thing: th(1)ng
_things: th(1)ngz
_think: th(1)nk
_thinkd: th(1)nkd
_thinking: th(1)ng:k(1)ng
_thinks: th(1)nks
_thinner: th(i):n(3)
_thinnest: th(i):n(i)st
_thins: th(i)ns
_third: th(3)d
_thirds: th(3)dz
_this: dh(i)s
_those: dh(O)z
_though: th(O)
_thought: th(9)t
_thoughts: th(9)ts
_thousand: th(8):z(i)nd
_thousands: th(8):z(i)ndz
_threat: thr(e)t
_threaten: thr(e):d(i)n
_threatened: thr(e):d(i)nd
_threatening: thr(e)t:n(1)ng
_threatens: thr(e):d(i)ns
_threats: thr(e)ts
_three: thr(E)
_threes: thr(E)z
_threw: thr(o)
_throat: thr(O)t
_through: thr(o)
_throughout: thr(o):(8)t
_throw: thr(O)
_throwing: thr(O):(1)ng
_thrown: thr(O)n
_throws: thr(O)z
_thus: dh(u)s
_ticket: t(i):k(i)t
_ticketed: t(i):k(i):d(i)d
_ticketing: t(i):k(i):d(1)ng
_tickets: t(i):k(i)ts
_tie: t(I)
_tied: t(I)d
_ties: t(I)z
_til: t(i)l
_till: t(i)l
_time: t(I)m
_timed: t(I)md
_times: t(I)mz
_tinier: t(I):n(E):(3)
_tiniest: t(I):n(E):(i)st
_tiny: t(I):n(E)
_tip: t(i)p
_tipped: t(i)pd
_tipping: t(i):p(1)ng
_tips: t(i)ps
_tired: t(I):(3)d
_title: t(I):d(0)l
_titled: t(I):d(0)ld
_titles: t(I):d(0)ls
_to: t(o)
_today: t(u):d(A)
_todayd: t(u):d(A)d
_todays: t(u):d(A)z
_together: t(u):g(e):th(3)
_told: t(0)ld
_tomorrow: t(u):m(a)r:r(O)
_tomorrows: t(u):m(a)r:r(O)z
_tone: t(O)n
_toned: t(O)nd
_tones: t(O)nz
_tonight: t(u):n(I)t
_tonights: t(u):n(I)ts
_toning: t(O):n(1)ng
_too: t(o)
_took: t(6)k
_tool: t(o)l
_tools: t(o)lz
_tooth: t(o)th
_top: t(a)p
_topic: t(a):p(i)k
_topical: t(a):p(i):k(0)l
_topics: t(a):p(i)ks
_topped: t(a)pt
_tops: t(a)ps
_tore: t(0)r
_tosses: t(9):s(i)s
_total: t(O):d(0)l
_totally: t(O):dd(u):l(E)
_totals: t(O):d(0)ls
_touch: t(u)ch
_touched: t(u)cht
_touches: t(u):ch(i)z
_touching: t(u):ch(1)ng
_tough: t(u)f
_tougher: t(u):f(3)
_toughest: t(u):f(i)st
_tour: t(0)r
_tours: t(0)rz
_toward: t(0)rd
_towards: tw(0)rdz
_town: t(8n)
_towns: t(8n)z
_track: tr(@)k
_tracked: tr(@)kt
_tracking: tr(@):k(1)ng
_tracks: tr(@)ks
_trade: tr(A)d
_traded: tr(A):d(i)d
_trades: tr(A)dz
_trading: tr(A):d(1)ng
_tradition: tr(u):d(i):sh(i)n
_traditional: tr(a):d(i):sh(i):n(0)l
_traditionals: tr(a):d(i):sh(i):n(0)lz
_traditions: tr(u):d(i):sh(i)ns
_traffic: tr(@):f(i)k
_traffics: tr(@):f(i)ks
_tragedy: tr(@):j(i):d(E)
_trail: tr(A)l
_trailed: tr(A)ld
_trailing: tr(A)l:l(1)ng
_trails: tr(A)lz
_train: tr(A)n
_trained: tr(A)nd
_trainers: tr(A):n(3)z
_training: tr(A):n(1)ng
_trains: tr(A)ns
_travel: tr(@):v(0)l
_traveled: tr(@):v(0)ld
_traveling: tr(@):v(0)l:l(i)ng
_travels: tr(@):v(0)lz
_treaded: tr(e):d(i)d
_treat: tr(E)t
_treated: tr(E):d(i)d
_treatment: tr(E)t:m(i)nt
_treatments: tr(E)t:m(i)nts
_treats: tr(E)ts
_tree: tr(E)
_trees: tr(E)z
_trend: tr(e)nd
_trended: tr(e)n:d(i)d
_trending: tr(e)n:d(1)ng
_trends: tr(e)nz
_trial: tr(I):(0)l
_trials: tr(I):(0)lz
_tried: tr(I)d
_tries: tr(I)s
_trip: tr(i)p
_tripped: tr(i)pt
_tripping: tr(i):p(1)ng
_trips: tr(i)ps
_troop: tr(o)p
_troops: tr(o)ps
_trouble: tr(u):b(0)l
_troubled: tr(u):b(0)ld
_troubles: tr(u):b(0)lz
_troubling: tr(u):b(0)l:l(1)ng
_truck: tr(u)k
_trucked: tr(u)kt
_trucks: tr(u)ks
_true: tr(o)
_truly: tr(o):l(E)
_trust: tr(u)st
_trusted: tr(u)s:t(i)d
_trusting: tr(u)s:t(1)ng
_trusts: tr(u)sts
_truth: tr(o)th
_truths: tr(o)ths
_try: tr(I)
_trying: tr(I):(1)ng
_turn: t(3)n
_turned: t(3)nd
_turning: t(3):n(1)ng
_turns: t(3)ns
_turnt: t(3)nt
_tv: t(E):v(E)
_tvz: t(E):v(E)z
_twenty: tw(e)n:t(E)
_twentys: tw(e)n:t(E)z
_twice: tw(I)s
_two: t(o)
_twos: t(o)z
_tying: t(I):(1)ng
_type: t(I)p
_typed: t(I)pt
_types: t(I)ps
_typical: t(i):p(i):k(0)l
_typically: t(i):p(i)k:l(E)
_typicallyd: t(i):p(i)k:l(E)d
_ultimately: (u)l:t(i):m(i)t:l(E)
_under: (u)n:d(3)
_understand: (u)n:d(3):st(&)nd
_understanding: (u)n:d(3):st(&)n:d(1)ng
_understandings: (u)n:d(3):st(&)n:d(1)ngz
_understands: (u)n:d(3):st(&)ndz
_understood: (u)n:d(3):st(6)d
_unfinished: (u)n:f(i):n(i)sht
_unfortunately: (u)n:f(0)r:ch(i):n(i)t:l(E)
_union: y(o)n:y(i)n
_unions: y(o)n:y(i)nz
_unique: y(o):n(E)k
_unit: y(o):n(i)t
_united: y(o):n(I):t(i)d
_units: y(o):n(i)ts
_universal: y(o):n(i):v(3):s(0)l
_universe: y(o):n(i):v(3)s
_universes: y(o):n(i):v(3):s(i)z
_universities: y(o):n(i):v(3):s(i):d(E)z
_university: y(o):n(i):v(3):s(i):d(E)
_universitys: y(o):n(i):v(3):s(i):d(E)z
_unknown: (u)n:n(O)n
_unless: (u)n:l(e)s
_unreliable: (u)n:r(E):l(I):(u):b(0)l
_unsaid: (u)n:s(e)d
_until: (u)n:t(i)l
_untrue: (u)n:tr(o)
_unusual: (u)n:y(o)zh:w(0)l|(u)n:y(o):zh(o):w(0)l
_unusually: (u)n:y(o)zh:w(0)l:l(E)|(u)n:y(o):zh(u):w(0)l:l(E)
_up: (u)p
_upon: (u):p(a)n
_upper: (u):p(3)
_ups: (u)ps
_urban: (3):b(i)n
_us: (u)s
_use: y(o)z
_used: y(o)zd
_useful: y(o)s:f(0)l
_usefulness: y(o)s:f(0)l:n(i)s
_user: y(o):z(3)
_users: y(o):z(3)z
_uses: y(o):z(i)z
_usually: y(o):z(o):w(6):l(E)
_usuallyd: y(o):z(o):w(9):l(E)d
_vain: v(A)n
_value: v(@)l:y(o)
_valued: v(@)l:y(o)d
_values: v(@)l:y(o)z
_variable: v(A)r:r(i):(u):b(0)l
_variables: v(A)r:r(i):(u):b(0)lz
_varieties: v(u):r(I):(i):d(E)z
_variety: v(u):r(I):(i):d(E)
_various: v(A)r:r(E):(i)s
_vast: v(@)st
_vegetable: v(e)j:t(i):b(0)l
_vegetables: v(e)j:t(i):b(0)lz
_vehicle: v(E):(i):k(0)l
_vehicles: v(E):(i):k(0)lz
_vena: v(E):n(u)
_version: v(3):zh(i)n
_versions: v(3):zh(i)nz
_very: v(A)r:r(E)
_victim: v(i)k:t(i)m
_victims: v(i)k:t(u)mz
_victories: v(i)k:t(3):r(E)z
_victorious: v(i)k:t(0)r:r(E):(i)s
_victory: v(i)k:t(3):r(E)
_video: v(i):d(E):(O)
_videos: v(i):d(E):(O)z
_view: vy(o)
_viewed: vy(o)d
_views: vy(o)z
_village: v(i)l:l(i)j
_villagers: v(i)l:l(i):j(3)z
_villages: v(i)l:l(i):j(i)z
_villains: v(i):l(i)nz
_violence: v(I):l(i)ns
_violent: v(I):l(i)nt
_virtually: v(3):ch(o):(0)l:l(E)
_vision: v(i):zh(i)n
_visions: v(i):zh(i)nz
_visit: v(i):z(i)t
_visited: v(i):z(i):d(i)d
_visiting: v(i):s(i):d(1)ng
_visitor: v(i):s(i):d(3)
_visitors: v(i):s(i):d(3)z
_visits: v(i):z(i)ts
_voice: v(Q)s
_voiced: v(Q)st
_voices: v(Q):s(i)z
_volume: v(9l):y(o)m
_volumes: v(9l):y(o)mz
_vote: v(O)t
_voted: v(O):d(i)d
_voter: v(O):dd(3)
_voters: v(O):dd(3)z
_votes: v(O)ts
_voting: v(O):d(1)ng
_vow: v(8)
_waifu: w(I):f(o)
_wait: w(A)t
_waited: w(A):d(i)d
_waiting: w(A):d(1)ng
_waits: w(A)ts
_wake: w(A)k
_waken: w(A):k(i)n
_wakes: w(A)ks
_waking: w(A):k(1)ng
_walk: w(9)k
_walked: w(9)kt
_walking: w(9):k(1)ng
_walks: w(9)ks
_wall: w(9l)
_walls: w(9l)z
_wanna: w(a):n(u)
_want: w(a)nt
_wanted: w(a)n:t(i)d
_wanting: w(a)n:t(1)ng
_wants: w(a)nts
_war: w(0)r
_warm: w(0)rm
_warmed: w(0)rmd
_warmer: w(0)r:m(3)
_warmest: w(0)r:m(i)st
_warms: w(0)rms
_warn: w(0)rn
_warned: w(0)rnd
_warning: w(0)r:n(1)ng
_warnings: w(0)r:n(1)ngz
_warns: w(0)rnz
_wars: w(0)rz
_was: w(u)z
_wasn't: w(u):z(i)nt
_waste: w(A)st
_wasted: w(A)s:t(i)d
_wastes: w(A)sts
_wasting: w(A)s:t(1)ng
_watch: w(a)ch
_watched: w(a)cht
_watches: w(a):ch(i)z
_watching: w(a):ch(1)ng
_water: w(a):d(3)
_watered: w(a):d(3)d
_waters: w(a):d(3)z
_wave: w(A)v
_waves: w(A)vz
_way: w(A)
_ways: w(A)z
_we: w(E)
_we'll: w(E)l
_we're: w(E)r
_we've: w(E)v
_weak: w(E)k
_weaker: w(E):k(3)
_weakest: w(E):k(i)st
_weakling: w(E)k:l(1)ng
_weapon: w(e):p(i)n
_weapons: w(e):p(i)ns
_wear: w(A)r
_wears: w(A)rs
_weather: w(e):th(3)
_weathers: w(e):th(3)z
_wed: w(E)d
_week: w(E)k
_weekend: w(E):k(e)nd
_weekends: w(E):k(e)ndz
_weeks: w(E)ks
_weight: w(A)t
_weights: w(A)ts
_welcome: w(e)l:k(u)m
_welcomed: w(e)l:k(u)md
_welcomes: w(e)l:k(u)mz
_welcoming: w(e)l:k(u):m(1)ng
_welfare: w(e)l:f(A)r
_well: w(e)l
_wells: w(e)lz
_went: w(e)nt
_were: w(3)
_west: w(e)st
_western: w(e):st(3)n
_westerns: w(e)s:t(3)nz
_wests: w(e)sts
_what: w(u)t
_what's: w(u)ts
_whatd: w(u)d
_whatever: w(u):dd(e):v(3)
_whateverd: w(u):dd(e):v(3)d
_whats: w(u)ts
_wheel: w(E)l
_wheels: w(E)lz
_when: w(e)n
_where: w(A)r
_whered: w(A)rd
_wheres: w(A)rs
_whereve: w(A)rv
_whether: w(e):dh(3)
_which: w(i)ch
_while: w(I)l|w(I):(0)l
_white: w(I)t
_whiter: w(I):d(3)
_whites: w(I)ts
_whitest: w(I):d(i)st
_who: h(o)
_whoa: w(O)
_whod: h(o)d
_whole: h(0)l
_whom: h(o)m
_whos: h(o)z
_whose: h(o)z
_whouldve: w(u):d(u)v
_why: w(I)
_whyd: w(I)d
_whys: w(I)z
_whyve: w(I)v
_wide: w(I)d
_wider: w(I):d(3)
_widest: w(I):d(i)st
_wife: w(I)f
_wild: w(I)ld|w(I):(0)ld
_wilds: w(I)ldz|w(I):(0)ldz
_will: w(i)l
_willing: w(i)l:l(1)ng
_wills: w(i)lz
_win: w(i)n
_wind: w(i)nd
_window: w(i)n:d(O)
_windows: w(i)n:d(O)z
_winds: w(i)ndz
_windy: w(i)n:d(E)
_wine: w(I)n
_wines: w(I)nz
_wing: w(1)ng
_winged: w(1)ngd
_winging: w(1)ng:(1)ng
_wings: w(1)ngz
_winner: w(i):n(3)
_winners: w(i):n(3)z
_winning: w(i):n(1)ng
_wins: w(i)nz
_winter: w(i)n:t(3)
_winters: w(i)n:t(3)z
_wish: w(i)sh
_wished: w(i)sht
_wishes: w(i):sh(i)z
_wishing: w(i):sh(1)ng
_with: w(i)th
_within: w(i):th(i)n
_without: w(i)th:(8)t
_withs: w(i)ths
_witness: w(i)t:n(i)s
_witnessed: w(i)t:n(i)st
_witnesses: w(i)t:n(i):s(i)s
_witnessing: w(i)t:n(i):s(1)ng
_wives: w(I)vz
_wo: w(O)
_woke: w(O)k
_woman: w(6):m(&)n
_women: w(6):m(e)n
_won: w(u)n
_won't: w(O)nt
_wonder: w(u)n:d(3)
_wondered: w(u)n:d(3)d
_wonderful: w(u)n:d(3):f(0)l
_wonderfully: w(u)n:d(3):fl(E)
_wondering: w(u)n:d(3):(1)ng
_wonders: w(u)n:d(3)z
_wood: w(6)d
_woods: w(6)dz
_word: w(3)d
_worded: w(3):d(i)d
_words: w(3)dz
_work: w(3)k
_worked: w(3)kt
_worker: w(3):k(3)
_workers: w(3):k(3)z
_works: w(3)ks
_world: w(3)ld
_worlds: w(3)ldz
_worn: w(0)rn
_worried: w(3):(E)d
_worries: w(3):(E)z
_worry: w(3):(E)
_worrying: w(3):(E):(1)ng
_worst: w(3)st
_worth: w(3)th
_worthless: w(3)th:l(i)s
_would: w(6)d
_wouldnt: w(6):d(i)nt
_wrap: r(@)p
_wrapped: r(@)pt
_wrapping: r(@):p(1)ng
_wraps: r(@)ps
_wreck: r(e)k
_write: r(I)t
_writer: r(I):d(3)
_writers: r(I):d(3)z
_writes: r(I)ts
_writing: r(I):d(1)ng
_writings: r(I):d(1)ngz
_wrong: r(9)ng
_wronged: r(9)ngd
_wrongs: r(9)ngz
_wrote: r(O)t
_ya: y(@)
_yard: y(a)rd
_yards: y(a)rdz
_yea: y(@)
_yeah: y(@)
_year: y(E)r
_yearns: y(3)nz
_years: y(E)rz
_yellow: y(e):l(O)
_yellows: y(e):l(O)z
_yes: y(e)s
_yesterday: y(e)s:t(3):d(A)
_yesterdays: y(e)s:t(3):d(A)z
_yet: y(e)t
_you: y(o)
_you'll: y(o)l
_you're: y(3)
_you've: y(o)v
_youd: y(o)d
_young: y(u)ng
_your: y(0)r
_yours: y(0)rz
_yourself: y(0)r:s(e)lf
_youth: y(o)th
_youths: y(o)ths
_zone: z(O)n
_zoned: z(O)nd
_zones: z(O)ns
_zoning: z(O):n(1)ng
