_a: u
_writing: rI:dd1,1ng
_writings: rI:dd1,1ngz
_wrong: r9,9ng
_wronged: r9,9ngd
_wrongs: r9,9ngs
_wrote: rO,Ot
_ya: y@
_yard: ya,ard
_yards: ya,ardz
_yea: y@
_yeah: y@
_year: yE,Er
_yearns: y3,3nz
_years: yE,Ers
_yellow: ye:lO
_yellows: ye:lO,Oz
_yes: ye,es
_yesterday: ye,es:t3:dA
_yesterdays: ye,es:t3:dA,As
_yet: ye,et
_you: yo
_youd: yo,od
_youe: y3
_youll: yo,ol
_young: yu,ung
_your: y0,0r
_youre: y3
_yours: y0,0rs
_yourself: y0,0r:se,elf
_youth: yo,oth
_youths: yo,oths
_youve: yo,ov
_zaik: zI,Ik
_zone: zO,On
_zoned: zO,Ond
_zones: zO,Ons
_zoning: zO:n1,1ng
